table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName
RH_30min,dewTempSpikeNAQM,"Dew or frost point temperature quality metric that summarizes when the spike test could not be run over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
RH_30min,dewTempValidCalFailQM,"Dew or frost point temperature quality metric that summarizes the failed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
RH_30min,dewTempValidCalPassQM,"Dew or frost point temperature quality metric that summarizes the passed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
RH_30min,dewTempValidCalNAQM,"Dew or frost point temperature quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
RH_30min,dewTempAlphaQM,"Dew or frost point temperature quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded,*.####(round),NA,NA
RH_30min,dewTempBetaQM,"Dew or frost point temperature quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded,*.####(round),NA,NA
RH_30min,dewTempFinalQF,"Dew or frost point temperature quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic,integer,NA,NA
RH_30min,dewTempFinalQFSciRvw,"Dew or frost point temperature quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (2=fail and data redacted, 1=fail but data retained and may be useful with additional corrections or filtering, 0=previous quality concern resolved and final quality flag correctly reflects data quality, Empty=pass/not reviewed)",unsigned integer,NA,expanded,integer,NA,NA
RH_30min,RHSensorErrorFailQM,"Quality metric that summarizes when the sensor error occurred over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
RH_30min,RHSensorErrorPassQM,"Quality metric that summarizes when the sensor error was not occurred  over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
RH_30min,RHSensorErrorNAQM,"Quality metric that summarizes when the sensor error was unknown over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
RH_30min,publicationDate,Date of data publication on the NEON data portal,dateTime,NA,appended by stackByTable,NA,N,
RH_30min,release,Identifier for data release,string,NA,appended by stackByTable,NA,N,
science_review_flags,domainID,Unique identifier of the NEON domain,string,NA,appended by stackByTable,NA,N,
science_review_flags,siteID,NEON site code,string,NA,appended by stackByTable,NA,N,
science_review_flags,horizontalPosition,Index of horizontal location at a NEON site,string,NA,appended by stackByTable,NA,N,
science_review_flags,verticalPosition,Index of vertical location at a NEON site,string,NA,appended by stackByTable,NA,N,
science_review_flags,srfID,Record identifier for science review flag,integer,NA,basic,asIs,NA,NA
science_review_flags,startDateTime,Date and time at which a sampling is initiated,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z',NA,NA
science_review_flags,endDateTime,Date and time at which a sampling is completed,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z',NA,NA
science_review_flags,domainID,Unique identifier of the NEON domain,string,NA,basic,asIs,NA,NA
science_review_flags,siteID,NEON site code,string,NA,basic,asIs,NA,NA
science_review_flags,dpID,"Data product identifier in the form of DPL.DPNUM.REV where DPL indicates data product level (0-4), DPNUM indicates a five-numeral identification number for the data product, and REV indicates a revision number.",string,NA,basic,asIs,NA,NA
science_review_flags,fieldName,Parameter name in data file,string,NA,basic,asIs,NA,NA
science_review_flags,horizontalPosition,"A three-character alphanumeric code for the measurement locations within one horizontal plane. For example, if one surface measurement were made at each of five soil array plots, the number in the HOR field would range from 001-005.",string,NA,basic,asIs,NA,NA
science_review_flags,verticalPosition,"A three-character alphanumeric code for the measurement locations within one vertical plane. For example, if one temperature measurement is made at each vertical level of a tower with 8 levels, the number in the VER field would range from 010-080.",string,NA,basic,asIs,NA,NA
science_review_flags,srfValue,Value of the science review quality flag (0=previous quality concern resolved and final quality flag correctly reflects data quality; 1=fail but data retained and may be useful with additional corrections or filtering; 2=fail and data redacted; Empty=not reviewed),integer,NA,basic,asIs,NA,NA
science_review_flags,srfValueJustification,Justification for srfValue. Updates to srfValue will be documented by multiple justifications separated by colon symbols.,string,NA,basic,asIs,NA,NA
science_review_flags,createDateTime,The date and time the science review flag was first generated,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z',NA,NA
science_review_flags,lastUpdateDateTime,The date and time the science review flag was last updated,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z',NA,NA
science_review_flags,publicationDate,Date of data publication on the NEON data portal,dateTime,NA,appended by stackByTable,NA,N,
science_review_flags,release,Identifier for data release,string,NA,appended by stackByTable,NA,N,
sensor_positions,HOR.VER,"The combined value of the horizontal and vertical location indices specified in each data file name. The HOR index is a three-character alphanumeric code for the measurement locations within one horizontal plane. For example, if one surface measurement were made at each of five soil array plots, the number in the HOR field would range from 001-005. The VER index is a three-character alphanumeric code for the measurement locations within one vertical plane. For example, if one temperature measurement is made at each vertical level of a tower with 8 levels, the number in the VER field would range from 010-080.",string,NA,basic,asIs,NA,NA
sensor_positions,sensorLocationID,The unique identifier for the location used by NEON for where the sensor was installed.,string,NA,basic,asIs,NA,NA
sensor_positions,sensorLocationDescription,The description of the location where the sensor was installed.,string,NA,basic,asIs,NA,NA
sensor_positions,positionStartDateTime,"The start date and time in UTC for the position information supplied for the location. If the position or orientation of the location changed over time, additional rows will supply the full history.",dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA
sensor_positions,positionEndDateTime,The end date and time in UTC for the position information supplied for the location. A blank value indicates that the position information was still valid for the location at the time of publishing.,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA
sensor_positions,referenceLocationID,"The unique identifier for the reference location from which the xOffset, yOffset, and zOffset distances are measured.",string,NA,basic,asIs,NA,NA
sensor_positions,referenceLocationIDDescription,The description of the reference location.,string,NA,basic,asIs,NA,NA
sensor_positions,referenceLocationIDStartDateTime,"The start date and time in UTC for the position information supplied for the reference location. If the position of the reference location changed over time, additional rows will supply the full history.",dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA
sensor_positions,referenceLocationIDEndDateTime,The end date and time in UTC for the position information supplied for the reference location.,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA
sensor_positions,xOffset,"The offset along the x-axis of the local coordinate frame, in meters, from the reference location to the location where the sensor was installed.",real,meter,basic,*.##(round),NA,NA
sensor_positions,yOffset,"The offset along the y-axis of the local coordinate frame, in meters, from the reference location to the location where the sensor was installed.",real,meter,basic,*.##(round),NA,NA
sensor_positions,zOffset,"The offset along the z-axis of the local coordinate frame, in meters, from the reference location to the location where the sensor was installed. The z-axis is always aligned with up, positive values indicating heights above the reference location.",real,meter,basic,*.##(round),NA,NA
sensor_positions,pitch,"The elevation angle, in degrees, in the vertical plane at which the sensor is oriented relative to the horizontal plane. Some sensors differ from this convention. See the product detail page for any exceptions.",real,degrees,basic,*.##(round),NA,NA
sensor_positions,roll,"The roll angle at which the sensor is oriented, in degrees, about the longitudinal axis of the sensor",real,degrees,basic,*.##(round),NA,NA
sensor_positions,azimuth,"The azimuth or yaw angle, in degrees, at which the sensor is facing relative to true north. Some sensors differ from this convention. See the product detail page for any exceptions.",real,degrees,basic,*.##(round),NA,NA
sensor_positions,locationReferenceLatitude,"The geographic latitude, in degrees, of the reference location.",real,degrees,basic,*.######(round),NA,NA
sensor_positions,locationReferenceLongitude,"The geographic longitude, in degrees, of the reference location.",real,degrees,basic,*.######(round),NA,NA
sensor_positions,locationReferenceElevation,"The elevation, in meters, above mean sea level.",real,meter,basic,*.##(round),NA,NA
sensor_positions,eastOffset,"The offset along the cardinal east direction, in meters, from the reference location to the location where the sensor was installed.",real,meter,basic,*.##(round),NA,NA
sensor_positions,northOffset,"The offset along the cardinal north (true) direction, in meters, from the reference location to the location where the sensor was installed.",real,meter,basic,*.##(round),NA,NA
sensor_positions,xAzimuth,"The azimuth, in degrees, of the local x-axis with respect to true north, used to convert the distance offset measured along the local x-axis (xOffset) to the offset along the cardinal east direction (eastOffset).",real,degrees,basic,*.##(round),NA,NA
sensor_positions,yAzimuth,"The azimuth, in degrees, of the local y-axis with respect to true north, used to convert the distance offset measured along the local y-axis (yOffset) to the offset along the cardinal north direction (northOffset).",real,degrees,basic,*.##(round),NA,NA
sensor_positions,publicationDate,Date of data publication on the NEON data portal,dateTime,NA,appended by stackByTable,NA,N,
sensor_positions,release,Identifier for data release,string,NA,appended by stackByTable,NA,N,
